Turkish,English
bir ,a
bu ,this
ve ,and
ne ,What
için ,for  
mi ,mi
ben ,I
çok ,lots
de ,also
ama ,but
var ,there is
evet ,Yeah
mi ,mi
değil ,not
hayır ,no  
şey ,thing
da ,in
sen ,you are
daha ,more    
bana ,forbidden
kadar ,until
bunu ,this
onu ,him-her-it
tamam ,Ok
seni ,old
beni ,me  
iyi ,good
yok ,none 
gibi ,as
benim ,mine  
her ,He
sana ,to you   
ki ,that
sadece ,Only
neden ,Why?
senin ,your
burada ,here
zaman ,time
olduğunu ,is
nasıl ,how
hiç ,none
şimdi ,now
sonra ,Then
en ,en
mu ,does it
yanlış ,false
şu ,this
ya ,Yeah
öyle ,so 
