,0
0,Adiyaman
1,Afyon
2,Agri
3,Amasya
4,Antalya
5,Artvin
6,Aydin
7,Balikesir
8,Bilecik
9,Bingol
10,Bitlis
11,Bolu
12,Burdur
13,Bursa
14,Canakkale
15,Cankiri
16,Corum
17,Denizli
18,Diyarbakir
19,Edirne
20,Elazig
21,Erzincan
22,Erzurum
23,Eskisehir
24,Gaziantep
25,Giresun
26,Gumushane
27,Hakkari
28,Hatay
29,Isparta
30,Istanbul
31,Izmir
32,Kars
33,Kastamonu
34,Kayseri
35,Kirklareli
36,Kirsehir
37,Kocaeli
38,Kutahya
39,Malatya
40,Manisa
41,Kahramanmaraş
42,Mardin
43,Mugla
44,Mus
45,Nevsehir
46,Nigde
47,Ordu
48,Rize
49,Sakarya
50,Samsun
51,Siirt
52,Sinop
53,Sivas
54,Tekirdag
55,Tokat
56,Trabzon
57,Tunceli
58,Sanliurfa
59,Usak
60,Van
61,Yozgat
62,Zonguldak
63,Aksaray
64,Bayburt
65,Karaman
66,Kirikkale
67,Batman
68,Sirnak
69,Bartin
70,Ardahan
71,Igdir
72,Yalova
73,Karabuk
74,Kilis
75,Osmaniye
76,Duzce
